first_open_dt,days,cohort_users,retained,retention_rate
2022-02-07,1,99,44,0.44444444444444442
2022-02-07,3,99,12,0.12121212121212122
2022-02-07,7,99,1,0.010101010101010102
2022-02-08,1,768,265,0.34505208333333331
2022-02-08,3,768,94,0.12239583333333333
2022-02-08,7,768,41,0.053385416666666664
2022-02-09,1,668,196,0.29341317365269459
2022-02-09,3,668,77,0.11526946107784432
2022-02-09,7,668,32,0.04790419161676647
2022-02-10,1,701,237,0.33808844507845937
2022-02-10,3,701,101,0.14407988587731813
2022-02-10,7,701,40,0.057061340941512127
2022-02-11,1,773,242,0.31306597671410091
2022-02-11,3,773,90,0.11642949547218628
2022-02-11,7,773,47,0.060802069857697282
2022-02-12,1,820,237,0.28902439024390242
2022-02-12,3,820,119,0.14512195121951219
2022-02-12,7,820,50,0.06097560975609756
2022-02-13,1,742,203,0.27358490566037735
2022-02-13,3,742,78,0.10512129380053908
2022-02-13,7,742,44,0.059299191374663072
2022-02-14,1,553,156,0.28209764918625679
2022-02-14,3,553,74,0.13381555153707053
2022-02-14,7,553,34,0.06148282097649186
2022-02-15,1,625,194,0.3104
2022-02-15,3,625,74,0.1184
2022-02-15,7,625,51,0.0816
2022-02-16,1,713,209,0.29312762973352036
2022-02-16,3,713,101,0.14165497896213183
2022-02-16,7,713,54,0.075736325385694248
2022-02-17,1,911,293,0.32162458836443469
2022-02-17,3,911,124,0.13611416026344675
2022-02-17,7,911,64,0.07025246981339188
2022-02-18,1,949,283,0.29820864067439412
2022-02-18,3,949,109,0.1148577449947313
2022-02-18,7,949,67,0.070600632244467859
2022-02-19,1,903,318,0.35215946843853818
2022-02-19,3,903,131,0.14507198228128459
2022-02-19,7,903,78,0.086378737541528236
2022-02-20,1,1023,330,0.32258064516129031
2022-02-20,3,1023,155,0.15151515151515152
2022-02-20,7,1023,69,0.067448680351906154
2022-02-21,1,938,287,0.30597014925373134
2022-02-21,3,938,110,0.11727078891257996
2022-02-21,7,938,68,0.072494669509594878
2022-02-22,1,1250,423,0.3384
2022-02-22,3,1250,151,0.1208
2022-02-22,7,1250,84,0.0672
2022-02-23,1,606,173,0.28547854785478549
2022-02-23,3,606,95,0.15676567656765678
2022-02-23,7,606,44,0.072607260726072612
2022-02-24,1,430,124,0.28837209302325584
2022-02-24,3,430,63,0.14651162790697675
2022-02-24,7,430,24,0.055813953488372092
2022-02-25,1,366,135,0.36885245901639346
2022-02-25,3,366,37,0.10109289617486339
2022-02-25,7,366,35,0.095628415300546443
2022-02-26,1,376,107,0.28457446808510639
2022-02-26,3,376,49,0.13031914893617022
2022-02-26,7,376,20,0.053191489361702128
2022-02-27,1,395,114,0.28860759493670884
2022-02-27,3,395,59,0.14936708860759493
2022-02-27,7,395,31,0.07848101265822785
2022-02-28,1,416,128,0.30769230769230771
2022-02-28,3,416,58,0.13942307692307693
2022-02-28,7,416,29,0.069711538461538464
2022-03-01,1,477,132,0.27672955974842767
2022-03-01,3,477,56,0.11740041928721175
2022-03-01,7,477,33,0.069182389937106917
2022-03-02,1,580,148,0.25517241379310346
2022-03-02,3,580,72,0.12413793103448276
2022-03-02,7,580,38,0.065517241379310351
2022-03-03,1,450,116,0.25777777777777777
2022-03-03,3,450,56,0.12444444444444444
2022-03-03,7,450,25,0.055555555555555552
2022-03-04,1,368,91,0.24728260869565216
2022-03-04,3,368,47,0.12771739130434784
2022-03-04,7,368,25,0.067934782608695649
2022-03-05,1,378,92,0.24338624338624337
2022-03-05,3,378,38,0.10052910052910052
2022-03-05,7,378,12,0.031746031746031744
2022-03-06,1,367,93,0.25340599455040874
2022-03-06,3,367,39,0.10626702997275204
2022-03-06,7,367,24,0.0653950953678474
2022-03-07,1,342,110,0.32163742690058478
2022-03-07,3,342,42,0.12280701754385964
2022-03-07,7,342,16,0.046783625730994149
2022-03-08,1,339,114,0.336283185840708
2022-03-08,3,339,39,0.11504424778761062
2022-03-08,7,339,24,0.070796460176991149
2022-03-09,1,336,122,0.36309523809523808
2022-03-09,3,336,61,0.18154761904761904
2022-03-09,7,336,23,0.068452380952380959
2022-03-10,1,422,132,0.3127962085308057
2022-03-10,3,422,49,0.11611374407582939
2022-03-10,7,422,24,0.056872037914691941
2022-03-11,1,462,140,0.30303030303030304
2022-03-11,3,462,64,0.13852813852813853
2022-03-11,7,462,28,0.060606060606060608
2022-03-12,1,525,139,0.26476190476190475
2022-03-12,3,525,69,0.13142857142857142
2022-03-12,7,525,35,0.066666666666666666
2022-03-13,1,571,152,0.266199649737303
2022-03-13,3,571,65,0.11383537653239929
2022-03-13,7,571,39,0.068301225919439573
2022-03-14,1,547,166,0.30347349177330896
2022-03-14,3,547,68,0.12431444241316271
2022-03-14,7,547,40,0.073126142595978064
2022-03-15,1,535,158,0.29532710280373831
2022-03-15,3,535,64,0.11962616822429907
2022-03-15,7,535,34,0.063551401869158877
2022-03-16,1,511,142,0.27788649706457924
2022-03-16,3,511,55,0.10763209393346379
2022-03-16,7,511,28,0.0547945205479452
2022-03-17,1,462,120,0.25974025974025972
2022-03-17,3,462,55,0.11904761904761904
