,start_ts,weather_conditions,duration_seconds
137,2017-11-18 13:00:00,Bad,3300.0
138,2017-11-11 13:00:00,Good,2100.0
139,2017-11-25 13:00:00,Good,1560.0
140,2017-11-04 12:00:00,Good,2760.0
141,2017-11-11 17:00:00,Good,2460.0
142,2017-11-11 10:00:00,Good,1740.0
143,2017-11-11 06:00:00,Good,1667.0
144,2017-11-18 18:00:00,Good,2056.0
145,2017-11-11 10:00:00,Good,1473.0
146,2017-11-11 14:00:00,Good,2340.0
147,2017-11-04 16:00:00,Bad,3180.0
148,2017-11-04 11:00:00,Good,2220.0
149,2017-11-18 14:00:00,Good,3540.0
150,2017-11-04 14:00:00,Good,2778.0
151,2017-11-18 06:00:00,Good,1420.0
152,2017-11-11 21:00:00,Good,1920.0
153,2017-11-04 14:00:00,Good,3480.0
154,2017-11-25 20:00:00,Good,1980.0
155,2017-11-18 10:00:00,Bad,2055.0
156,2017-11-11 12:00:00,Good,2240.0
157,2017-11-11 15:00:00,Good,2380.0
158,2017-11-11 17:00:00,Good,2160.0
159,2017-11-04 08:00:00,Good,1539.0
160,2017-11-25 10:00:00,Good,1591.0
161,2017-11-18 14:00:00,Good,2588.0
162,2017-11-11 03:00:00,Good,1162.0
163,2017-11-11 09:00:00,Good,0.0
164,2017-11-18 09:00:00,Bad,1260.0
165,2017-11-18 13:00:00,Bad,2940.0
166,2017-11-18 16:00:00,Bad,2340.0
167,2017-11-18 12:00:00,Bad,2220.0
168,2017-11-11 07:00:00,Good,0.0
169,2017-11-04 22:00:00,Good,1380.0
170,2017-11-04 12:00:00,Good,2220.0
171,2017-11-25 11:00:00,Good,1140.0
172,2017-11-11 10:00:00,Good,1239.0
173,2017-11-04 08:00:00,Good,1380.0
174,2017-11-04 14:00:00,Good,2820.0
175,2017-11-04 14:00:00,Good,3060.0
176,2017-11-04 16:00:00,Bad,3130.0
177,2017-11-18 15:00:00,Good,2877.0
178,2017-11-18 12:00:00,Bad,2934.0
179,2017-11-11 06:00:00,Good,1260.0
180,2017-11-04 16:00:00,Bad,3270.0
181,2017-11-18 19:00:00,Good,1860.0
182,2017-11-11 11:00:00,Good,2054.0
183,2017-11-11 16:00:00,Good,2293.0
184,2017-11-11 06:00:00,Good,1500.0
185,2017-11-04 15:00:00,Good,2880.0
186,2017-11-25 09:00:00,Good,1473.0
187,2017-11-25 04:00:00,Good,1384.0
188,2017-11-04 10:00:00,Good,2525.0
